วันที่|ประเภท|หมวดหมู่|จำนวนเงิน|รายละเอียด
2026-01-01|รายรับ|เงินเดือน|8500.00|รับเงินเดือน (มกราคม)
2026-01-01|รายจ่าย|อาหาร|1000.00|กินอยู่บ้าน (วันที่ 1-3)
2026-01-04|รายจ่าย|ค่าสาธารณูปโภค|284.00|ค่าไฟ
2026-01-04|รายจ่าย|เดินทาง|200.00|ค่าเติมน้ำมัน
2026-01-04|รายจ่าย|อาหาร|100.00|เข้าเซเว่น
2026-01-05|รายจ่าย|ช้อปปิง|168.00|ซื้อของใช้
2026-01-05|รายจ่าย|อาหาร|137.00|ข้าว เช้า เย็น
2026-01-06|รายจ่าย|อาหาร|115.00|ข้าว เช้า เย็น
2026-01-06|รายจ่าย|ช้อปปิง|426.63|ค่าช้อปปี้
2026-01-06|รายจ่าย|อื่นๆ|120.00|ค่ายูทูป
2026-01-06|รายจ่าย|อื่นๆ|50.00|ค่า transcript
2026-01-07|รายจ่าย|อาหาร|65.00|ข้าวเช้า
2026-01-07|รายจ่าย|อาหาร|60.00|ข้าวเย็น
2026-01-08|รายจ่าย|อาหาร|55.00|ข้าวเช้า
2026-01-08|รายจ่าย|ช้อปปิง|596.00|ค่าครีม
2026-01-08|รายจ่าย|อาหาร|130.00|เข้าเซเว่น
2026-01-09|รายจ่าย|อื่นๆ|50.00|ค่า transcript
2026-01-09|รายจ่าย|อาหาร|70.00|ตำเส้นเล็ก
2026-01-09|รายจ่าย|อาหาร|60.00|ข้าวเย็น
2026-01-10|รายจ่าย|อาหาร|45.00|น้ำ 1 แพ็ค
2026-01-10|รายจ่าย|อาหาร|60.00|ข้าว
2026-01-11|รายจ่าย|อาหาร|60.00|ข้าวเช้า
2026-01-11|รายจ่าย|อาหาร|70.00|ส้มตำ
2026-01-12|รายจ่าย|อาหาร|60.00|ข้าวเช้า
2026-01-12|รายจ่าย|อาหาร|55.00|ข้าวเย็น
2026-01-13|รายจ่าย|ช้อปปิง|617.00|ค่าครีม
2026-01-13|รายจ่าย|อาหาร|60.00|ข้าวเช้า
2026-01-13|รายจ่าย|อาหาร|55.00|ข้าวเย็น
2026-01-13|รายจ่าย|อาหาร|140.00|สตอเบอร์รี่
2026-01-14|รายจ่าย|อาหาร|103.00|ทาร์ตไข่ เฟรนฟราย
2026-01-14|รายจ่าย|เดินทาง|60.00|เติมน้ำมัน
2026-01-14|รายจ่าย|ช้อปปิง|64.00|กันแดด มอยส์เจอไรเซอร์
2026-01-14|รายจ่าย|อาหาร|55.00|ข้าว
2026-01-14|รายจ่าย|อาหาร|55.00|ก๋วยเตี๋ยว
2026-01-14|รายจ่าย|ช้อปปิง|69.00|กรรไกรตัดเล็บ
2026-01-15|รายจ่าย|อาหาร|66.00|ช็อกโกแลตปั่น หมี่
2026-01-15|รายจ่าย|อาหาร|50.00|ต้มเส้น
2026-01-15|รายจ่าย|อาหาร|234.00|สุกี้ตี๋น้อย
2026-01-16|รายจ่าย|อาหาร|59.00|น้ำโยเกิร์ตปีโป้
2026-01-16|รายจ่าย|อาหาร|60.00|ข้าว
2026-01-17|รายจ่าย|อาหาร|233.00|สั่งเซเว่น
2026-01-18|รายจ่าย|อาหาร|60.00|กะเพราปลาหมึก
2026-01-18|รายจ่าย|อาหาร|59.00|ข้าวเย็น
2026-01-19|รายจ่าย|อาหาร|40.00|ต้มเส้น
2026-01-19|รายจ่าย|อาหาร|40.00|กล้วย มัน ทอด
2026-01-19|รายจ่าย|เดินทาง|70.00|เติมน้ำมัน
2026-01-19|รายจ่าย|หนี้สิน|50.00|ให้ดรีมยืมเงิน
2026-01-19|รายจ่าย|ช้อปปิง|118.00|คลีนซิ่ง
2026-01-19|รายจ่าย|อาหาร|98.00|หม่าล่า
2026-01-19|รายจ่าย|ช้อปปิง|72.00|ที่กั้นแอร์เบาะ
2026-01-19|รายจ่าย|ช้อปปิง|102.00|มอยส์เจอไรเซอร์
2026-01-20|รายจ่าย|อาหาร|45.00|ข้าว
2026-01-20|รายจ่าย|อาหาร|29.00|น้ำแข็งไส
2026-01-20|รายจ่าย|อาหาร|40.00|ข้าวเย็น
2026-01-21|รายจ่าย|อาหาร|35.00|ข้าว
2026-01-21|รายจ่าย|อาหาร|40.00|สลัด
2026-01-21|รายจ่าย|อาหาร|20.00|ข้าวโพด
2026-01-21|รายจ่าย|อาหาร|20.00|ไก่ทอด
2026-01-22|รายจ่าย|อาหาร|70.00|เข้าเซเว่น
2026-01-22|รายจ่าย|อาหาร|60.00|ข้าว
2026-01-22|รายจ่าย|ช้อปปิง|60.00|แป้ง กันแดด
2026-01-23|รายจ่าย|อาหาร|35.00|ข้าวเช้า
2026-01-23|รายจ่าย|อาหาร|39.00|น้ำ
2026-01-23|รายจ่าย|อาหาร|45.00|น้ำเปล่า
2026-01-23|รายจ่าย|อาหาร|70.00|ส้มตำ
2026-01-23|รายจ่าย|อื่นๆ|100.00|เติมเงินเข้า Wallet (วอ)
2026-01-23|รายจ่าย|ช้อปปิง|20.00|แชมพู
2026-01-24|รายจ่าย|อาหาร|55.00|ข้าว
2026-01-24|รายจ่าย|ช้อปปิง|114.00|ต่างหู
2026-01-24|รายจ่าย|ช้อปปิง|14.00|สั่งของ
2026-01-24|รายจ่าย|อาหาร|60.00|หมี่ไก่ฉีก
2026-01-25|รายจ่าย|อาหาร|50.00|ก๋วยเตี๋ยว
2026-01-25|รายจ่าย|อาหาร|70.00|ขนมจีน ของหวาน
2026-01-26|รายจ่าย|อาหาร|35.00|ข้าวเช้า
2026-01-26|รายจ่าย|อาหาร|20.00|กล้วยทอด
2026-01-26|รายจ่าย|อาหาร|80.00|ข้าวเย็น
2026-01-26|รายจ่าย|ช้อปปิง|140.00|สั่งของ
2026-01-27|รายจ่าย|อาหาร|113.00|เข้าเซเว่น
2026-01-27|รายจ่าย|อาหาร|35.00|ข้าวต้ม
2026-01-28|รายจ่าย|อาหาร|50.00|ข้าวเช้า
2026-01-28|รายจ่าย|อาหาร|70.00|ข้าวเย็น
2026-01-29|รายจ่าย|อาหาร|45.00|ก๋วยเตี๋ยว
2026-01-29|รายจ่าย|อาหาร|30.00|ผัดหมี่
2026-01-29|รายจ่าย|ช้อปปิง|100.00|ติดฟิล์ม
2026-01-29|รายจ่าย|เดินทาง|100.00|เติมน้ำมัน
2026-01-30|รายจ่าย|ช้อปปิง|208.00|ค่าของ
2026-01-30|รายจ่าย|อาหาร|45.00|ก๋วยเตี๋ยว
2026-01-30|รายจ่าย|อาหาร|19.00|น้ำ
2026-01-30|รายจ่าย|อาหาร|60.00|ข้าว
2026-01-31|รายจ่าย|อาหาร|60.00|ข้าว
